verb,fps,sps,tps,fpp,spp,tpp
anfangen,fing an,fingst an,fing an,fingen an,fingt an,fingen an
anrufen,rief an,riefst an,rief an,riefen an,rieft an,riefen an
ausgeben,gab aus,gabst aus,gab aus,gaben aus,gabt aus,gaben aus
bleiben,blieb,bliebst,blieb,blieben,bliebt,blieben
brechen,brach,brachst,brach,brachen,bracht,brachen
bringen,brachte,brachtest,brachte,brachten,brachtet,brachten
denken,dachte,dachtest,dachte,dachten,dachtet,dachten
einsteigen,stieg ein,stiegst ein,stieg ein,stiegen ein,stiegt ein,stiegen ein
essen,ass,assest,ass,assen,asst,assen
fahren,fuhr,fuhrst,fuhr,fuhren,fuhrt,fuhren
fallen,fiel,fielst,fiel,fielen,fielt,fielen
finden,fand,fandst,fand,fanden,fandet,fanden
fliegen,flog,flogst,flog,flogen,flogt,flogen
fressen,frass,frassest,frass,frassen,frasst,frassen
geben,gab,gabst,gab,gaben,gabt,gaben
gehen,ging,gingst,ging,gingen,gingt,gingen
haben,hatte,hattest,hatte,hatten,hattet,hatten
heissen,hiess,hiessest,hiess,hiessen,hiesst,hiessen
helfen,half,halfst,half,halfen,halft,halfen
kennen,kannte,kanntest,kannte,kannten,kanntet,kannten
kommen,kam,kamst,kam,kamen,kamt,kamen
laufen,lief,liefst,lief,liefen,lieft,liefen
lesen,las,lasest,las,lasen,last,lasen
liegen,lag,lagst,lag,lagen,lagt,lagen
nehmen,nahm,nahmst,nahm,nahmen,nahmt,nahmen
nennen,nannte,nanntest,nannte,nannten,nanntet,nannten
rennen,rannte,ranntest,rannte,rannten,ranntet,rannten
schneiden,schnitt,schnittst,schnitt,schnitten,schnittet,schnitten
schreiben,schrieb,schriebst,schrieb,schrieben,schriebt,schrieben
sehen,sah,sahst,sah,sahen,saht,sahen
sein,war,warst,war,waren,wart,waren
senden,sandte,sandtest,sandte,sandten,sandtet,sandten
sprechen,sprach,sprachst,sprach,sprachen,spracht,sprachen
stehen,stand,standst,stand,standen,standet,standen
stehlen,stahl,stahlst,stahl,stahlen,stahlt,stahlen
tragen,trug,trugst,trug,trugen,trugt,trugen
tun,tat,tatst,tat,taten,tatet,taten
vergessen,vergass,vergassest,vergass,vergassen,vergasst,vergassen
verstehen,verstand,verstandst,verstand,verstanden,verstandet,verstanden
werden,wurde,wurdest,wurde,wurden,wurdet,wurden
wissen,wusste,wusstest,wusste,wussten,wusstet,wussten

